,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,301169,零点有数,-0.14,-17.65,6.28,-2.13,-0.93,-731.92,-19.54,,11-02
1,301129,瑞纳智能,0.22,,7.48,2.99,-2.63,1211.36,81.45,,11-01
2,301092,争光股份,0.71,,4.42,17.41,0.42,7079.18,0.2,,11-01
3,301091,深城交,0.58,,,15.66,,6903.19,50.38,,10-31
4,002558,巨人网络,0.46,4.55,,8.66,,87426.6,4.38,,10-30
5,600626,申达股份,0.07,-147.24,,2.88,,7289.7,-161.4,,10-30
6,601086,国芳集团,0.13,62.5,,4.55,,8585.22,55.31,,10-30
7,000429,粤高速A,0.67,294.12,,16.2,,139425.0,303.89,,10-30
8,600647,同达创业,0.06,116.41,,2.54,,770.88,116.48,,10-30
9,600266,城建发展,0.18,-38.12,,1.74,,55209.62,-34.66,,10-30
10,603915,国茂股份,0.74,45.1,,12.82,,34481.59,45.67,,10-30
11,600665,天地源,0.33,116.27,,7.1,,28595.01,116.22,,10-30
12,002607,中公教育,-0.14,-166.67,,-23.26,,-89089.81,-167.45,,10-30
13,000536,华映科技,-0.0,-102.03,,-0.22,,-1183.05,-102.02,,10-30
14,600284,浦东建设,0.34,28.1,,4.98,,32510.58,28.1,,10-30
15,000993,闽东电力,0.28,-2810.68,,6.47,,12787.58,-2798.06,,10-30
16,603939,益丰药房,0.98,-12.42,,10.6,,69595.65,17.86,,10-30
17,601366,利群股份,0.12,100.0,,2.2,,10587.29,101.21,,10-30
18,000573,粤宏远A,0.21,-1773.6,,8.2,,13350.99,-1780.98,,10-30
19,600322,天房发展,-0.12,-537.68,,,,-13356.74,-537.74,,10-30
20,603996,*ST中新,-1.04,-20.06,,,,-31205.76,-20.07,,10-30
21,601555,东吴证券,0.49,19.51,,6.72,,190510.13,27.71,,10-30
22,600739,辽宁成大,1.22,-25.89,,7.54,,187206.94,-25.89,,10-30
23,601611,中国核建,0.36,9.09,,7.76,,104133.53,9.56,,10-30
24,002362,汉王科技,0.16,-49.4,,2.63,,4003.16,-43.0,,10-30
25,601688,华泰证券,1.23,25.51,,8.31,,1104858.6,25.0,,10-30
26,002052,ST同洲,-0.08,-11.19,,-28.35,,-5742.63,-11.19,,10-30
27,600015,华夏银行,0.87,17.57,15.01,5.92,5.82,1619500.0,14.7,,10-30
28,603520,司太立,0.9,7.14,,11.1,,21949.53,10.61,,10-30
29,600793,宜宾纸业,0.14,-123.33,,4.07,,2495.69,-123.33,,10-30
30,601866,中远海发,0.33,167.18,,18.87,,398831.61,138.53,,10-30
31,000688,国城矿业,0.14,78.16,,6.19,,15461.28,78.18,,10-30
32,600811,东方集团,0.07,-44.03,,1.26,,26734.06,-44.06,,10-30
33,600456,宝钛股份,1.01,79.63,,8.4,,47123.33,95.06,,10-30
34,300041,回天新材,0.53,9.32,,10.61,,21771.17,10.72,,10-30
35,600828,茂业商业,0.21,10.9,,5.44,,36132.09,10.89,,10-30
36,601968,宝钢包装,0.2,11.11,,6.51,,20388.2,38.82,,10-30
37,600078,*ST澄星,0.14,1300.0,,,,9290.62,1525.32,,10-30
38,000729,燕京啤酒,0.2,16.96,,4.17,,56336.04,16.98,,10-30
39,605580,恒盛能源,0.58,,,20.26,,8991.87,,,10-30
40,600847,万里股份,-0.03,-409.28,,-0.69,,-478.12,-422.52,,10-30
41,002775,文科园林,0.06,-77.77,,1.32,,3134.76,-77.35,,10-30
42,002459,晶澳科技,0.83,-13.77,,8.62,,131238.63,1.62,,10-30
43,603020,爱普股份,0.5,18.06,,7.06,,16109.21,18.05,,10-30
44,688030,山石网科,-0.12,-55.77,,-1.47,,-2077.9,-55.77,,10-30
