,open,close,high,low,volume,money
2015-01-05,3566.089,3641.541,3669.042,3551.51,45119809800.0,519849817448.0
2015-01-06,3608.428,3641.059,3683.226,3587.231,42096218500.0,498529588258.0
2015-01-07,3620.924,3643.79,3671.19,3601.698,32019123200.0,398731720502.0
2015-01-08,3650.073,3559.259,3659.945,3552.1,29500304500.0,355831967325.0
2015-01-09,3547.574,3546.723,3689.753,3536.395,34998267200.0,430210592272.0
2015-01-12,3531.515,3513.576,3560.527,3461.322,26656717500.0,334257133083.0
2015-01-13,3506.451,3514.04,3550.158,3494.768,18715396500.0,250796676069.0
2015-01-14,3522.907,3502.423,3547.242,3471.56,19601251000.0,241285837533.0
2015-01-15,3501.719,3604.121,3604.121,3482.27,23781233800.0,303445351108.0
2015-01-16,3616.248,3635.146,3662.158,3601.258,28268161400.0,355568710742.0
2015-01-19,3414.013,3355.155,3497.252,3330.981,32950527500.0,366017532103.0
2015-01-20,3336.793,3396.222,3419.204,3325.681,29784323200.0,381917903845.0
2015-01-21,3420.491,3548.885,3557.794,3409.43,33792821000.0,425433704264.0
2015-01-22,3551.052,3567.613,3576.756,3520.053,26885359900.0,345026040998.0
2015-01-23,3582.088,3571.732,3627.806,3548.626,28017217200.0,361835546416.0
2015-01-26,3580.118,3607.985,3611.617,3559.376,23976620300.0,309585710088.0
2015-01-27,3614.038,3574.931,3616.258,3510.017,28766917900.0,357548249621.0
2015-01-28,3547.239,3525.323,3583.312,3512.393,21622021400.0,278749164896.0
2015-01-29,3474.915,3481.798,3505.582,3453.901,21161886000.0,251897926442.0
2015-01-30,3496.885,3434.39,3514.217,3431.936,19647915700.0,237420793858.0
2015-02-02,3360.193,3353.96,3407.256,3347.085,19518369900.0,224837769887.0
2015-02-03,3388.602,3437.445,3441.709,3360.717,19284609600.0,241100023193.0
2015-02-04,3446.144,3401.768,3476.817,3399.565,19130434900.0,244034297155.0
2015-02-05,3487.951,3366.946,3487.951,3366.862,25043060900.0,311523669172.0
2015-02-06,3352.33,3312.42,3374.051,3285.935,19266418600.0,221433183351.0
2015-02-09,3305.734,3345.921,3376.526,3298.597,17235382000.0,220766525021.0
2015-02-10,3345.077,3406.943,3407.18,3339.548,15930908800.0,199120680699.0
2015-02-11,3415.977,3434.124,3445.655,3412.136,14461377200.0,185979219656.0
2015-02-12,3435.361,3442.874,3453.582,3405.627,15608169100.0,191285873488.0
2015-02-13,3458.827,3469.828,3509.505,3452.079,20108997100.0,247076153339.0
2015-02-16,3473.289,3499.483,3504.475,3466.607,16564134300.0,222799721247.0
2015-02-17,3511.544,3522.322,3536.82,3511.093,16532831300.0,214457267905.0
2015-02-25,3529.55,3478.729,3529.55,3463.955,16553935100.0,211739059322.0
2015-02-26,3473.713,3566.295,3569.33,3456.871,22932843800.0,279809075234.0
2015-02-27,3565.233,3572.843,3594.813,3560.455,22278643800.0,271861944608.0
2015-03-02,3603.452,3601.265,3608.691,3566.527,24817612500.0,325164897145.0
2015-03-03,3579.315,3507.9,3579.315,3504.201,26186648900.0,335700118167.0
2015-03-04,3514.667,3530.822,3540.912,3497.172,19966398100.0,257468790961.0
2015-03-05,3513.249,3496.344,3517.083,3467.676,21750880500.0,279030592350.0
2015-03-06,3501.184,3478.52,3516.243,3472.392,18151805400.0,233468244766.0
2015-03-09,3449.696,3537.75,3546.705,3417.486,23394041100.0,277860471571.0
2015-03-10,3523.64,3520.611,3551.205,3511.985,19426765700.0,245366625918.0
2015-03-11,3524.575,3524.653,3568.916,3512.218,18894782500.0,235772755479.0
2015-03-12,3557.686,3592.844,3603.341,3536.534,26566462500.0,322141249344.0
2015-03-13,3604.671,3617.657,3641.392,3594.742,24686476800.0,297298516465.0
2015-03-16,3641.773,3705.671,3705.739,3621.119,27543830700.0,358497570207.0
